name,question_1,question_2,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_18,question_19,question_20
hs1246,0,4,0,0,0,0,7,10,10,0,0,10,6,0,4,10,0,10,0
hs17715,0,7,0,0,0,0,7,0,10,0,0,10,10,10,10,10,0,10,0
hs9775,0,3,0,0,0,3,1,0,10,0,0,10,10,4,5,10,0,10,0
hs7238,0,10,0,0,0,0,1,0,10,0,0,10,10,6,7,10,0,10,0
hs16639,0,0,0,0,0,0,7,0,10,0,0,10,10,10,10,10,0,10,0
hs3930,0,6,0,0,0,2,1,0,10,0,0,10,10,7,8,10,0,10,0
hs18672,0,6,0,0,0,0,7,10,10,0,0,10,4,8,8,10,0,10,0
hs12120,0,10,0,0,0,0,7,0,10,0,0,10,10,4,6,10,0,10,0
hs7342,0,10,0,0,0,0,7,0,10,0,0,10,10,4,6,10,0,10,0
hs9754,0,2,0,0,0,3,1,0,10,0,0,10,10,5,6,10,0,10,0
hs22010,0,0,0,0,0,2,1,0,10,0,0,10,10,7,7,10,0,10,0
hs14197,0,8,0,0,0,0,7,10,10,0,0,10,2,8,8,10,0,10,0
hs10301,0,3,0,0,0,3,1,0,10,0,0,10,10,4,4,10,0,10,0
hs15327,0,0,0,0,0,2,1,0,10,0,0,10,10,10,10,10,0,10,0
hs21861,2,9,0,0,0,1,1,0,10,0,0,10,10,10,10,10,0,10,0
hs2377,0,5,0,0,0,1,1,0,10,0,0,10,10,8,8,10,0,10,0
hs4433,0,10,0,0,0,0,1,0,10,0,0,10,10,7,8,10,0,10,0
hs4236,0,6,0,0,0,2,7,10,10,0,0,10,4,2,5,10,0,10,0
hs17660,0,8,0,0,0,0,7,0,10,0,0,10,10,10,10,10,0,10,0
hs5259,1,6,0,0,0,6,1,0,10,0,0,10,10,2,4,10,0,10,0
hs3053,1,8,0,0,0,3,1,0,10,0,0,10,10,8,8,10,0,10,0
hs11835,0,6,0,0,0,1,1,0,10,0,0,10,10,6,7,10,0,10,0
hs19433,0,8,10,0,0,0,1,0,10,0,0,10,10,10,10,10,0,10,0
hs587,0,8,0,0,0,0,7,0,10,0,0,10,10,0,5,10,0,10,0
hs15374,0,9,0,0,0,0,7,0,10,0,0,10,10,6,7,10,0,10,0
hs672,0,0,0,0,0,0,7,0,10,0,0,10,10,8,8,10,0,10,0
hs1744,0,7,0,0,0,0,1,0,10,0,0,10,10,5,8,10,0,10,0
hs9695,0,10,0,0,0,0,1,0,10,0,0,10,10,1,6,10,0,10,0
hs20123,4,10,0,0,0,2,1,0,10,0,0,10,10,10,10,10,0,10,0
hs19328,0,10,0,0,0,0,1,0,10,0,0,10,10,10,10,10,0,10,0
hs796,0,0,0,0,0,3,1,0,10,0,0,10,10,1,7,10,0,10,0
hs2680,0,4,0,0,0,1,1,0,10,0,0,10,10,8,8,10,0,10,0
hs17585,0,10,0,0,0,0,1,0,10,0,0,10,10,10,10,10,0,10,0
hs1911,0,0,0,0,0,0,7,0,10,0,0,10,10,1,5,10,0,10,0
hs4502,0,4,0,0,0,5,1,0,10,0,0,10,10,10,10,10,0,10,0
hs8829,0,8,0,0,0,0,1,0,10,0,0,10,10,1,7,10,0,10,0
hs18159,1,10,0,0,0,1,1,0,10,0,0,10,10,10,10,10,0,10,0
hs4743,1,5,0,0,0,3,1,0,10,0,0,10,10,4,5,10,0,10,0
hs3663,1,8,0,0,0,4,1,0,10,0,0,10,10,6,6,10,0,10,0
hs7468,0,7,0,0,0,0,1,0,10,0,0,10,10,7,8,10,0,10,0
hs3942,0,6,0,0,0,3,1,0,10,0,0,10,10,4,6,10,0,10,0
hs13954,0,9,0,0,0,0,1,0,10,0,0,10,10,3,6,10,0,10,0
hs8622,0,9,0,0,0,1,7,0,10,0,0,10,10,3,7,10,0,10,0
hs19755,0,10,0,0,0,0,1,10,10,0,0,10,0,10,10,10,0,10,10
hs656,0,9,0,0,0,0,7,10,10,0,0,10,1,0,4,10,0,10,0
hs9647,0,10,0,0,0,3,1,0,10,0,0,10,10,7,8,10,0,10,0
hs9437,0,9,0,0,0,1,1,0,10,0,0,10,10,10,10,10,0,10,0
hs2211,0,7,0,0,0,1,1,0,10,0,0,10,10,4,6,10,0,10,0
hs14294,0,9,0,0,0,0,7,0,10,0,0,10,10,10,10,10,0,10,0
hs1439,1,5,0,0,0,2,1,0,10,0,0,10,10,0,1,10,0,10,0
hs16912,0,10,0,0,0,0,1,0,10,0,0,10,10,10,10,10,0,10,0
hs5857,0,10,0,0,0,0,1,0,10,0,0,10,10,8,8,10,0,10,0
hs20204,2,9,10,0,0,3,1,0,10,0,0,10,10,8,8,10,0,10,0
hs15210,0,3,0,0,0,3,1,0,10,0,0,10,10,3,5,10,0,10,0
hs15102,0,5,0,0,0,1,1,0,10,0,0,10,10,10,10,10,0,10,0
hs6815,0,0,0,0,0,4,1,0,10,0,0,10,10,10,10,10,0,10,0
hs14537,0,3,0,0,0,5,1,0,10,0,0,10,10,4,5,10,0,10,0
hs7209,0,0,0,0,0,4,1,0,10,0,0,10,10,10,10,10,0,10,0
hs15249,0,6,0,0,0,2,1,0,10,0,0,10,10,3,6,10,0,10,0
hs11353,0,2,0,0,0,4,1,0,10,0,0,10,10,3,6,10,0,10,0
hs5638,0,6,0,0,0,0,7,0,10,0,0,10,10,10,10,10,0,10,0
hs17109,0,8,0,0,0,3,7,0,10,0,0,10,10,5,5,10,0,10,0
hs9613,0,7,0,0,0,0,7,10,10,0,0,10,3,1,7,10,0,10,0
hs2686,0,4,0,0,0,0,1,0,10,0,0,10,10,0,3,10,0,10,0
hs939,0,7,0,0,0,0,7,0,10,0,0,10,10,10,10,10,0,10,0
hs11795,0,10,0,0,0,0,7,10,10,0,0,10,0,2,7,10,0,10,0
hs7328,0,8,0,0,0,0,9,10,10,10,0,10,2,5,7,10,10,10,0
hs14681,0,6,0,0,0,0,7,10,10,0,0,10,4,6,7,10,0,10,0
hs4354,0,8,0,0,0,0,7,10,10,0,0,10,2,1,7,10,0,10,0
hs18214,0,4,0,0,0,0,7,0,10,0,0,10,10,4,6,10,0,10,0
hs17209,1,9,0,0,0,1,1,0,10,0,0,10,10,10,10,10,0,10,0
hs10555,1,10,0,0,0,1,1,10,10,0,0,10,0,10,10,10,0,10,10
hs20677,0,10,0,0,0,0,1,10,10,0,0,10,0,5,5,10,0,10,10
hs15203,0,7,0,0,0,0,7,10,10,0,0,10,3,10,10,10,0,10,0
hs8312,0,10,0,0,0,0,7,0,10,0,0,10,10,1,5,10,0,10,0
hs1813,0,8,0,0,0,0,7,10,10,0,0,10,2,0,3,10,0,10,0
hs11185,0,8,0,0,0,0,7,0,10,0,0,10,10,1,4,10,0,10,0
hs993,0,7,0,0,0,0,7,0,10,0,0,10,10,1,7,10,0,10,0
hs92,0,8,0,0,0,2,7,0,10,0,0,10,10,3,6,10,0,10,0
